id,match_id,robot_id,created_at,created_by,updated_at,updated_by,available,field4,field5,field6,field7,field8,field9,field10,field11,field12,field13,field15,field16,field17,field18,field19,field20,field21,field14,field4,field5,field6,field7,field8,field9,field10,field11,field12,field13,field15,field16,field17,field18,field19,field20,field21,field14
94,Q28,7483,2023-04-07 18:54:12.803947,Ely,2023-04-07 18:54:12.803947,Ely,True,1,,,1.0,['3'],,,,2.0,,"['1', '3']",['2'],2,0,0,,0,,1,,,1.0,['3'],,,,2.0,,"['1', '3']",['2'],2,0,0,,0,
97,Q29,1881,2023-04-07 19:01:42.609763,Saris,2023-04-07 19:01:42.609763,Saris,True,2,,,,,,,1,4.0,2.0,"['1', '3', '2']",['2'],,0,1,5.0,0,,2,,,,,,,1,4.0,2.0,"['1', '3', '2']",['2'],,0,1,5.0,0,
98,Q30,2083,2023-04-07 19:07:52.771475,A,2023-04-07 19:07:52.771475,A,True,,,,,,,1,1,,2.0,,['1'],2,,,,,0.0,,,,,,,1,1,,2.0,,['1'],2,,,,,0.0
99,Q30,2359,2023-04-07 19:07:56.159397,A,2023-04-07 19:07:56.159397,A,True,2,,,,,,1,2,1.0,,,['1'],2,,,,,,2,,,,,,1,2,1.0,,,['1'],2,,,,,
100,Q31,1209,2023-04-07 19:17:52.882357,A,2023-04-07 19:17:52.882357,A,True,2,,,,,,1,1,3.0,,"['3', '1']",['3'],2,,,,,,2,,,,,,1,1,3.0,,"['3', '1']",['3'],2,,,,,
104,Q32,8086,2023-04-07 19:34:48.952625,Ely,2023-04-07 19:34:48.952625,Ely,True,1,,1.0,,['3'],['2'],1,,,,,['2'],2,0,0,,0,,1,,1.0,,['3'],['2'],1,,,,,['2'],2,0,0,,0,
109,Q38,2333,2023-04-07 20:14:48.606550,A,2023-04-07 20:14:48.606550,A,True,1,,,,,,1,,,,,,,,,,1,,1,,,,,,1,,,,,,,,,,1,
111,Q44,1986,2023-04-07 21:01:06.827891,A,2023-04-07 21:01:06.827891,A,True,1,,,1.0,['3'],['1'],,,1.0,3.0,['1'],['3'],2,,,,,1.0,1,,,1.0,['3'],['1'],,,1.0,3.0,['1'],['3'],2,,,,,1.0
112,Q44,5550,2023-04-07 21:01:23.095159,A,2023-04-07 21:01:23.095159,A,True,2,,1.0,,['2'],['1'],1,2,,,,,,,,,1,,2,,1.0,,['2'],['1'],1,2,,,,,,,,,1,
91,Q28,1750,2023-04-07 18:52:58.536563,Saris,2023-04-07 18:52:58.536563,Saris,True,1,,,,,,1,,,1.0,['3'],['3'],1,0,0,,1,1.0,1,,,,,,1,,,1.0,['3'],['3'],1,0,0,,1,1.0
93,Q28,4523,2023-04-07 18:53:34.807762,Armando ,2023-04-07 18:53:34.807762,Armando ,True,3,,,,,['1'],,2,,,,,2,0,0,,0,,3,,,,,['1'],,2,,,,,2,0,0,,0,
95,Q29,6424,2023-04-07 19:01:22.184338,Armando,2023-04-07 19:01:22.184338,Armando,True,2,,,,,,1,2,,,['1'],['1'],2,0,0,,0,1.0,2,,,,,,1,2,,,['1'],['1'],2,0,0,,0,1.0
96,Q29,8064,2023-04-07 19:01:23.237294,Armando,2023-04-07 19:01:23.237294,Armando,True,3,,,,,,,,,,,,,0,0,,0,,3,,,,,,,,,,,,,0,0,,0,
101,Q31,6832,2023-04-07 19:18:01.805407,A,2023-04-07 19:18:01.805407,A,True,2,,,,,,,2,1.0,1.0,"['1', '2']",['3'],0,,,,,,2,,,,,,,2,1.0,1.0,"['1', '2']",['3'],0,,,,,
